first_word,first_code_emoji,first_code,assigned_second_guess,max_num_second_word_in_strategy,is_bin_solved,n_answers_in_bin,bin_probability,assigned_score_entropy,selected_second_guess_list
CRANE,⬛⬛⬛⬛⬛,00000,TOILS,8,False,263,0.1136,1.6998,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟨⬛⬛,00100,TOILS,8,False,134,0.0579,1.5467,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛⬛⬛🟨,00001,SPILT,8,False,127,0.0549,1.5970,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨⬛⬛🟨,01001,BETEL,8,False,122,0.0527,1.2143,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛⬛⬛🟩,00002,TOILS,8,False,102,0.0441,1.5740,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨⬛⬛⬛,01000,SOUTH,8,False,90,0.0389,1.5698,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟨⬛⬛,01100,TOILS,8,False,65,0.0281,1.2269,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛⬛🟨🟨,00011,SOLID,8,False,58,0.0251,1.2692,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛⬛🟩⬛,00020,SOUTH,8,False,58,0.0251,1.3039,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛⬛🟨⬛,00010,TOILS,8,False,55,0.0238,1.3387,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛⬛⬛⬛,10000,TOILS,8,False,55,0.0238,1.4414,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩⬛⬛⬛,02000,BIGOT,8,False,51,0.0220,1.3045,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟨⬛🟨,01101,BETEL,8,False,50,0.0216,1.1259,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟨⬛🟩,00102,SPILT,8,False,49,0.0212,1.2014,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟩⬛⬛,00200,SPILT,8,False,49,0.0212,1.4090,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟨🟨⬛,00110,TOILS,8,False,47,0.0203,1.3405,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟨⬛🟨,00101,BETEL,8,False,46,0.0199,1.3076,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟩⬛🟩,00202,SPILT,8,False,44,0.0190,1.1397,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨⬛⬛🟩,01002,SOUTH,8,False,40,0.0173,1.2652,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨⬛🟨🟨,01011,DEIST,8,False,27,0.0117,1.0621,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛🟨⬛⬛,10100,TOILS,8,False,27,0.0117,1.1078,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩⬛⬛🟩,02002,POUTS,8,False,26,0.0112,1.0866,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛⬛⬛⬛,20000,TOILS,8,False,25,0.0108,1.0817,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟩⬛⬛,01200,DEIST,8,False,24,0.0104,1.0290,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩⬛⬛🟨,02001,DEIST,8,False,22,0.0095,1.0311,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩🟩⬛⬛,02200,SPILT,8,False,22,0.0095,1.0858,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛⬛🟨🟩,00012,DEIST,8,False,21,0.0091,1.1967,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟨🟨🟨,00111,BETEL,8,False,21,0.0091,0.9457,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟨🟩⬛,00120,TOILS,8,False,20,0.0086,0.9343,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛⬛⬛🟨,10001,BETEL,8,False,20,0.0086,1.1278,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟩⬛🟨,00201,TOILS,8,False,18,0.0078,0.9498,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛⬛🟨⬛,10010,TOILS,8,False,18,0.0078,1.0085,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩⬛🟩⬛,02020,BIGOT,8,False,17,0.0073,1.1242,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟩🟩⬛,00220,SPILT,8,False,16,0.0069,0.9783,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨⬛🟨⬛,01010,SOUTH,8,False,13,0.0056,1.0038,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩🟩⬛🟩,02202,DEIST,8,False,13,0.0056,0.7085,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛🟩⬛⬛,10200,SPILT,8,False,13,0.0056,0.8649,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛🟨⬛⬛,20100,TOILS,8,False,13,0.0056,0.9112,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛🟩⬛⬛,20200,TOILS,8,False,13,0.0056,0.9750,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩⬛⬛⬛,22000,POUTS,8,False,13,0.0056,1.0038,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛⬛🟩🟩,00022,POUTS,8,False,12,0.0052,0.9788,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩🟨⬛⬛,02100,BIGOT,8,False,12,0.0052,0.9097,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛⬛🟨🟩,10012,SOLID,8,False,11,0.0048,0.6923,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨⬛⬛⬛,11000,SOUTH,8,False,11,0.0048,0.9867,"spilt,solid,deist,betel,bigot,south,toils,pouts"
